pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
94,1,actionfeedback,2020-09-23 16:08:23.776966,2020-09-23 16:12:39.574682,2020-09-23 16:22:05.9025,13.5,0,College degree,No,38,Male,-,-,,6,4,"[0, 0, 0, 0, 0, 0, 3, 6, 10, 9]","[0, 0, 0, 0, 0, 0, 21, 6, 20, 19]",66.0,6.6,"[14, -40, 42, -46, -40, 44, 21, -18, 20, 11]",0.1263,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.455, 0.308]","[3.304, 2.767, 2.424, 3.37, 3.313, 2.695, 0, 3.364, 0, 4.0]"
95,1,actionfeedback,2020-09-23 16:07:28.451057,2020-09-23 16:12:41.029678,2020-09-23 16:19:13.457229,11.4,0,College degree,No,31,Female,-,-,,1,4,"[3, 0, 3, 3, 3, 3, 3, 3, 3, 3]","[1, 0, 1, 1, -1, 1, 1, -5, 1, 1]",1.0,0.1,"[-55, 42, 41, 29, 51, -51, 41, 49, 21, -29]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.283, 2.796, 2.731, 2.406, 2.712, 3.403, 2.766, 2.415, 4.598, 3.248]"
96,1,actionfeedback,2020-09-23 16:05:59.77396,2020-09-23 16:12:55.91172,2020-09-23 16:17:32.949638,6.5,0,High school graduate,No,36,male,-,-,,0,4,"[5, 9, 1, 5, 9, 6, 2, 6, 2, 6]","[3, 19, 47, 43, 35, 42, 46, 42, 46, 18]",341.0,34.1,"[-45, 15, 45, 37, 33, 48, 36, 50, 46, 24]",0.3693,"[0.0, 0.273, 1.0, 0.286, 0.308, 0.308, 0.667, 0.308, 0.235, 0.308]","[2.784, 2.0, 0, 2.0, 4.0, 7.0, 0, 7.0, 2.247, 7.0]"
97,1,actionfeedback,2020-09-23 16:07:11.447109,2020-09-23 16:13:07.889507,2020-09-23 16:24:07.920192,16.5,0,College degree,No,36,female,-,-,This was a fun hit.,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-48, -18, -42, 56, -48, -30, 34, -18, -50, -32]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.396, 3.316, 3.252, 2.782, 3.381, 2.422, 2.382, 3.34, 3.363, 4.51]"
98,1,actionfeedback,2020-09-23 16:01:27.83048,2020-09-23 16:04:40.401865,2020-09-23 16:07:41.965041,6.1,0,College degree,No,35,Male,-,-,,0,4,"[7, 10, 7, 8, 11, 9, 12, 12, 12, 12]","[23, 42, 43, 40, 41, 47, 38, 14, 42, 42]",372.0,37.2,"[23, 42, 43, 40, 41, 47, 38, 12, 42, 42]",0.3209,"[0.25, 0.273, 0.25, 0.333, 0.417, 0.3, 0.308, 0.385, 0.231, 0.462]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,1,actionfeedback,2020-09-23 16:10:58.064332,2020-09-23 16:13:53.074189,2020-09-23 16:17:54.547604,6.8,0,College degree,No,26,Male,-,-,,1,4,"[4, 0, 12, 11, 4, 3, 5, 4, 8, 3]","[-4, 0, 44, 41, 56, 55, 49, 44, 42, 39]",366.0,36.6,"[-46, -44, 44, 41, 56, 55, 49, 34, 42, 39]",0.311,"[0.473, 0.0, 0.385, 0.231, 0.266, 0.181, 0.376, 0.8, 0.231, 0.167]","[2.336, 3.387, 0, 2.0, 3.519, 2.537, 2.989, 0, 5.0, 2.993]"
100,1,actionfeedback,2020-09-23 16:11:23.322619,2020-09-23 16:14:18.201807,2020-09-23 16:17:26.506594,5.8,0,College degree,No,38,male,-,-,This was fun - thank you!,0,4,"[5, 9, 12, 9, 7, 12, 5, 11, 6, 12]","[7, 35, 28, 37, 53, 26, 49, 43, 50, 18]",346.0,34.6,"[31, 35, 28, 37, 53, 26, 49, 43, 50, 18]",0.3305,"[0.0, 0.3, 0.462, 0.3, 0.25, 0.385, 0.333, 0.308, 0.429, 0.538]","[2.771, 0, 0, 0, 0, 0, 0, 2.0, 0, 0]"
101,1,actionfeedback,2020-09-23 16:03:33.191308,2020-09-23 16:11:21.359542,2020-09-23 16:16:15.473507,12.3,0,College degree,No,60,male,-,-,"fun, hope you get the answers you need",0,4,"[6, 12, 12, 8, 9, 6, 7, 10, 9, 6]","[24, 14, 36, 22, 47, 42, 49, 40, 43, 42]",359.0,35.9,"[24, 14, 36, 22, 43, 42, 47, 40, 43, 34]",0.4861,"[0.354, 0.385, 0.692, 0.385, 0.462, 0.571, 0.385, 0.308, 0.462, 0.857]","[2.485, 0, 0, 5.0, 4.0, 0, 6.0, 3.0, 4.0, 0]"
102,1,actionfeedback,2020-09-23 16:01:20.185005,2020-09-23 16:04:00.400965,2020-09-23 16:07:18.383193,5.8,0,High school graduate,No,31,agender,-,-,,0,4,"[5, 9, 9, 7, 6, 6, 8, 6, 7, 6]","[47, 35, 35, 41, 42, 42, 40, 42, 45, 42]",411.0,41.1,"[51, 43, 39, 41, 46, 38, 34, 46, 53, 48]",0.37,"[0.5, 0.5, 0.6, 0.231, 0.714, 0.154, 0.154, 0.231, 0.308, 0.308]","[0, 0, 0, 6.0, 0, 7.0, 5.0, 7.0, 6.0, 7.0]"
103,1,actionfeedback,2020-09-23 15:49:02.761976,2020-09-23 15:54:52.935615,2020-09-23 16:03:39.303927,14.3,0,College degree,No,53,Female,-,-,"Thank you it was fun, have a good day!",4,4,"[0, 0, 0, 0, 3, 3, 1, 2, 2, 2]","[0, 0, 0, 0, -1, -1, 3, 0, -2, 0]",-1.0,-0.1,"[38, 30, -52, -52, 51, -21, -41, 16, -42, -56]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.777, 2.154, 3.31, 2.738, 2.143, 3.322, 2.764, 2.401, 2.708, 2.769]"
104,1,actionfeedback,2020-09-23 15:57:30.590673,2020-09-23 16:01:56.17635,2020-09-23 16:07:27.567617,7.4,0,College degree,No,45,Female,-,-,No comments,0,4,"[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[3, 1, -1, -1, 1, -1, 1, -1, 1, 1]",4.0,0.4,"[-35, 53, -21, 27, 57, 55, 45, -21, 27, 33]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.365, 2.741, 4.479, 2.794, 2.766, 2.409, 2.154, 2.727, 2.758, 2.389]"
105,1,actionfeedback,2020-09-23 15:45:05.151836,2020-09-23 15:48:05.093323,2020-09-23 15:54:03.821083,8.6,0,High school graduate,No,23,Female,-,-,,1,4,"[3, 0, 1, 1, 3, 3, 3, 3, 3, 3]","[1, 0, 3, -1, 1, 1, 1, 1, 1, 1]",9.0,0.9,"[41, 42, 31, -31, 15, -39, -31, 17, 27, 57]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.375, 2.156, 2.444, 2.809, 2.41, 2.71, 2.731, 2.184, 4.493, 3.363]"
106,1,actionfeedback,2020-09-23 17:08:14.919447,2020-09-23 17:16:39.523909,2020-09-23 17:21:01.967567,8.1,0,College degree,Yes,25,male,-,-,no additional feedback at this time. Thank you.,0,3,"[4, 5, 9, 5, 5, 11, 10, 11, 6, 10]","[48, 47, 19, 47, 47, 41, 16, 25, 24, 38]",352.0,35.2,"[52, 55, 15, 39, 39, 41, 16, 25, 24, 38]",0.3364,"[0.4, 0.333, 0.385, 0.13, 0.5, 0.308, 0.308, 0.385, 0.23, 0.385]","[0, 0, 4.0, 2.665, 0, 2.0, 3.0, 2.0, 2.689, 3.0]"
107,1,actionfeedback,2020-09-23 16:45:00.037784,2020-09-23 16:55:32.037156,2020-09-23 17:02:12.668442,16.7,0,College degree,No,57,Male,-,-,,4,3,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 3, 3, 3, -1, -1, 0, 3]",10.0,1.0,"[54, -50, 40, 43, 35, -55, -51, -55, 14, 59]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.17, 3.308, 2.753, 3.422, 2.403, 2.74, 3.287, 2.785, 3.355, 2.737]"
108,1,actionfeedback,2020-09-23 15:46:40.598019,2020-09-23 15:50:17.173671,2020-09-23 15:53:19.334687,6.5,0,College degree,No,36,Male,-,-,,0,4,"[6, 5, 9, 6, 6, 6, 6, 6, 6, 6]","[42, 43, 43, 42, 42, 18, 18, 42, 42, 42]",374.0,37.4,"[44, 41, 39, 42, 34, 18, 14, 40, 48, 36]",0.4957,"[0.429, 0.429, 0.462, 0.571, 0.857, 0.385, 0.714, 0.231, 0.308, 0.571]","[0, 2.0, 4.0, 0, 0, 7.0, 0, 7.0, 7.0, 0]"
109,1,actionfeedback,2020-09-23 15:47:37.154097,2020-09-23 15:51:13.55515,2020-09-23 15:54:33.870545,6.6,0,High school graduate,No,35,male,-,-,,0,4,"[10, 8, 8, 12, 8, 4, 10, 8, 8, 9]","[26, 52, 40, 40, 22, 48, 28, 42, 38, 17]",353.0,35.3,"[26, 52, 40, 40, 22, 48, 28, 42, 38, 17]",0.4136,"[0.636, 0.385, 0.381, 0.462, 0.462, 0.6, 0.385, 0.286, 0.154, 0.385]","[0, 5.0, 2.496, 0, 5.0, 0, 3.0, 2.505, 5.0, 4.0]"
110,1,actionfeedback,2020-09-23 15:47:51.345506,2020-09-23 15:51:39.272401,2020-09-23 15:57:32.408206,9.3,0,High school graduate,No,32,Male,-,-,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[1, 1, -5, 1, -1, 1, 1, -1, 1, 1]",0.0,0.0,"[33, 57, 27, 17, -33, 35, 27, -49, 49, 37]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.415, 2.735, 2.4, 2.173, 2.152, 2.78, 4.394, 2.732, 3.263, 3.409]"
111,1,actionfeedback,2020-09-23 15:49:24.371832,2020-09-23 15:53:19.938151,2020-09-23 15:56:29.024656,6.7,0,College degree,No,30,female,-,-,,0,4,"[9, 9, 9, 9, 8, 6, 8, 6, 6, 6]","[47, 43, 23, 47, 44, 42, 44, 42, 42, 42]",416.0,41.6,"[51, 47, 27, 43, 42, 38, 42, 30, 42, 52]",0.4099,"[0.308, 0.4, 0.5, 0.154, 0.308, 0.857, 0.308, 0.385, 0.571, 0.308]","[4.0, 0, 0, 4.0, 5.0, 0, 5.0, 7.0, 0, 7.0]"
112,1,actionfeedback,2020-09-23 15:48:41.39818,2020-09-23 15:53:58.681518,2020-09-23 16:02:16.851702,13.4,0,High school graduate,No,28,male,-,-,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[24, 18, -34, 48, -12, 26, 12, -18, -30, -42]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.782, 3.356, 2.735, 2.374, 2.39, 2.161, 3.283, 4.525, 2.752, 3.407]"
113,1,actionfeedback,2020-09-23 15:54:55.471153,2020-09-23 16:02:02.288464,2020-09-23 16:07:19.131855,12.2,0,College degree,Yes,40,Female,-,-,,0,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 3, -1, -1, 1, 3, 3, -1, 3, -1]",8.0,0.8,"[-37, 55, 25, 23, -39, 43, 39, 23, 31, 59]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.368, 2.723, 2.396, 2.747, 4.561, 2.392, 3.348, 2.77, 2.41, 2.716]"
114,1,actionfeedback,2020-09-23 15:49:18.999516,2020-09-23 15:54:14.525723,2020-09-23 15:58:51.24404,9.3,0,College degree,No,39,female,-,-,,0,4,"[9, 5, 7, 5, 9, 6, 5, 5, 7, 9]","[39, 23, 39, 47, 35, 18, 23, 47, 19, 39]",329.0,32.9,"[39, 19, 39, 43, 35, 18, 15, 51, 15, 39]",0.2514,"[0.182, 0.077, 0.25, 0.13, 0.3, 0.429, 0.333, 0.131, 0.5, 0.182]","[2.0, 8.0, 0, 2.694, 0, 0, 0, 2.658, 0, 2.0]"
115,1,actionfeedback,2020-09-23 15:51:01.110255,2020-09-23 15:54:43.291557,2020-09-23 16:01:25.562721,10.1,0,High school graduate,No,37,female,-,-,,0,4,"[6, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[6, 36, 24, 42, 40, 26, 12, 10, 32, 24]",252.0,25.2,"[-42, 10, 24, 42, 40, 26, 12, 10, 32, 24]",0.3311,"[0.0, 0.385, 0.385, 0.231, 0.231, 0.385, 0.462, 0.385, 0.385, 0.462]","[4.536, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,1,actionfeedback,2020-09-23 15:49:45.771477,2020-09-23 15:58:33.260168,2020-09-23 16:04:09.071214,10.5,0,College degree,No,45,Male,-,-,,0,4,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[44, 26, 32, 46, 38, 10, 42, 42, 14, 40]",334.0,33.4,"[44, 26, 32, 46, 38, 10, 42, 42, 14, 40]",0.4387,"[0.385, 0.462, 0.385, 0.538, 0.692, 0.385, 0.385, 0.308, 0.385, 0.462]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
117,1,actionfeedback,2020-09-23 15:52:36.176124,2020-09-23 15:59:20.679807,2020-09-23 16:06:06.535083,13.1,0,High school graduate,Yes,43,male,-,-,,0,4,"[3, 6, 7, 6, 7, 8, 9, 6, 5, 6]","[25, 26, 23, 46, 49, 48, 27, 32, 23, 50]",349.0,34.9,"[21, 30, 23, 44, 53, 44, 27, 32, 25, 48]",0.3278,"[0.181, 0.12, 0.3, 0.24, 0.316, 0.444, 0.5, 0.332, 0.274, 0.571]","[2.533, 2.324, 2.986, 2.327, 2.507, 0, 0, 3.033, 2.312, 0]"
118,1,actionfeedback,2020-09-23 15:52:07.657634,2020-09-23 15:59:35.220511,2020-09-23 16:05:44.785649,13.4,0,College degree,No,45,Female,-,-,,1,4,"[3, 3, 0, 8, 6, 6, 6, 6, 6, 6]","[29, 1, 0, 40, 42, 42, 42, 18, 42, 42]",298.0,29.8,"[25, -41, -50, 36, 46, 52, 36, 20, 32, 34]",0.3408,"[0.5, 0.0, 0.0, 0.556, 0.714, 0.308, 0.154, 0.714, 0.231, 0.231]","[0, 3.349, 2.737, 0, 0, 7.0, 7.0, 0, 7.0, 7.0]"
119,1,actionfeedback,2020-09-23 15:56:57.614862,2020-09-23 15:59:36.797302,2020-09-23 16:03:12.098008,6.0,0,College degree,Yes,31,Male,-,-,,0,4,"[5, 5, 10, 12, 5, 10, 9, 12, 12, 8]","[55, 15, 12, 12, 43, 42, 47, 36, 30, 48]",340.0,34.0,"[55, 15, 8, 12, 43, 42, 47, 36, 30, 48]",0.3435,"[0.333, 0.333, 0.333, 0.462, 0.333, 0.455, 0.083, 0.462, 0.308, 0.333]","[0, 0, 2.0, 0, 0, 0, 3.032, 0, 0, 0]"
120,1,actionfeedback,2020-09-23 15:55:45.589254,2020-09-23 15:59:40.025325,2020-09-23 16:08:57.170591,12.9,0,College degree,Yes,45,Male,-,-,,0,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 3, -1, 1, 1, 3, 1, -1]",10.0,1.0,"[-55, -15, 29, 35, -25, 29, -43, -17, 29, -37]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.704, 3.347, 2.73, 2.448, 2.436, 2.723, 2.735, 3.346, 4.51, 3.287]"
121,1,actionfeedback,2020-09-23 15:55:18.857449,2020-09-23 16:00:10.302943,2020-09-23 16:04:20.274258,8.8,0,College degree,No,25,Female,-,-,,2,4,"[6, 0, 0, 3, 4, 5, 7, 6, 4, 7]","[34, 0, 0, 39, 48, 51, 45, 40, 52, 33]",342.0,34.2,"[-66, 16, 24, 39, 50, 55, 41, 40, 50, 37]",0.1687,"[0.24, 0.0, 0.0, 0.182, 0.158, 0.231, 0.231, 0.118, 0.142, 0.385]","[2.325, 3.355, 2.772, 2.497, 2.345, 8.0, 6.0, 2.476, 3.037, 6.0]"
122,1,actionfeedback,2020-09-23 15:57:38.097096,2020-09-23 16:00:37.733251,2020-09-23 16:06:54.950691,9.1,0,College degree,Yes,26,male,-,-,,0,4,"[4, 3, 3, 3, 6, 4, 8, 3, 5, 6]","[30, 1, 1, -7, 0, 4, 38, 27, 7, 0]",101.0,10.1,"[30, 21, -25, -47, -24, -48, 38, 27, -17, -48]",0.1113,"[0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.087, 0.5, 0.126, 0.0]","[0, 2.753, 2.756, 3.389, 4.541, 2.731, 3.507, 0, 2.962, 2.174]"
123,1,actionfeedback,2020-09-23 15:50:29.081262,2020-09-23 15:54:16.845659,2020-09-23 15:58:34.801396,7.7,0,College degree,Yes,26,Non-Binary,-,-,Fun game!!,0,4,"[5, 6, 12, 9, 9, 7, 6, 4, 6, 12]","[31, 28, 42, 43, 41, 33, 42, -4, 42, 32]",330.0,33.0,"[31, 28, 42, 51, 37, 27, 30, 20, 48, 32]",0.4362,"[0.333, 0.429, 0.385, 0.5, 0.5, 0.444, 0.385, 0.616, 0.308, 0.462]","[0, 0, 0, 0, 0, 2.0, 7.0, 2.498, 7.0, 0]"
124,1,actionfeedback,2020-09-23 16:07:43.751624,2020-09-23 16:15:46.807883,2020-09-23 16:19:45.305817,10.9,0,College degree,No,25,female,-,-,,0,4,"[3, 4, 5, 6, 5, 3, 6, 3, 10, 9]","[45, 40, 43, 42, 19, 45, 42, 45, 12, 35]",368.0,36.8,"[39, 44, 51, 44, 25, 49, 54, 39, 12, 35]",0.6072,"[1.0, 0.4, 1.0, 0.429, 0.833, 0.187, 0.857, 0.75, 0.462, 0.154]","[0, 0, 0, 0, 0, 2.341, 0, 0, 3.0, 4.0]"
125,1,actionfeedback,2020-09-23 17:30:23.73544,2020-09-23 17:35:42.130829,2020-09-23 17:40:40.242113,9.5,0,College degree,No,34,Male,-,-,I hope my answers helps the study.,0,4,"[4, 12, 6, 8, 7, 10, 8, 6, 6, 11]","[48, 36, 42, 48, 49, 28, 30, 42, 42, 43]",408.0,40.8,"[40, 36, 30, 50, 47, 28, 30, 32, 34, 43]",0.4106,"[0.4, 0.385, 0.385, 0.462, 0.231, 0.385, 0.308, 0.308, 0.857, 0.385]","[0, 0, 7.0, 5.0, 6.0, 3.0, 5.0, 7.0, 0, 2.0]"
126,1,actionfeedback,2020-09-23 16:09:48.757137,2020-09-23 16:16:13.938135,2020-09-23 16:20:17.202862,10.3,0,College degree,No,31,Male,-,-,,0,4,"[5, 7, 8, 9, 7, 8, 7, 8, 8, 4]","[25, 49, 46, 15, 29, 42, 51, 38, 26, 40]",361.0,36.1,"[25, 49, 46, 15, 29, 42, 51, 38, 26, 40]",0.3732,"[0.333, 0.375, 0.444, 0.5, 0.25, 0.333, 0.375, 0.222, 0.3, 0.6]","[0, 0, 0, 0, 0, 0, 0, 0, 2.0, 0]"
127,1,actionfeedback,2020-09-23 16:46:00.22058,2020-09-23 16:54:35.226799,2020-09-23 16:59:09.997371,12.8,0,College degree,Yes,23,female,-,-,-,0,4,"[3, 2, 2, 2, 3, 2, 2, 1, 2, 3]","[-1, -2, 0, -2, -1, -2, -2, 3, -2, -5]",-14.0,-1.4,"[43, -42, 52, 24, -33, -42, 18, 55, -54, -25]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.755, 3.292, 2.176, 2.695, 2.174, 2.755, 2.758, 2.412, 2.743, 2.767]"
128,1,actionfeedback,2020-09-23 16:55:32.268119,2020-09-23 16:57:45.95766,2020-09-23 17:04:00.75969,8.3,0,High school graduate,No,36,female,-,-,,0,4,"[3, 3, 4, 3, 4, 3, 3, 3, 3, 3]","[-3, 1, 20, 21, 44, 45, 45, 21, 21, 21]",236.0,23.6,"[51, 41, -34, 27, 48, 45, 57, -45, 23, 19]",0.3671,"[0.2, 0.166, 0.286, 0.154, 0.6, 0.5, 0.5, 0.333, 0.182, 0.75]","[2.0, 3.026, 3.005, 3.48, 0, 0, 0, 3.011, 2.501, 0]"
129,1,actionfeedback,2020-09-23 16:45:07.49192,2020-09-23 16:57:51.336137,2020-09-23 17:04:50.52778,18.1,0,High school graduate,No,48,male,-,-,confusing thx,6,4,"[3, 3, 3, 3, 0, 0, 0, 0, 0, 0]","[-5, 1, -7, 1, 0, 0, 0, 0, 0, 0]",-10.0,-1.0,"[-21, 41, 9, -51, 16, 38, -48, 18, 24, 14]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.737, 2.757, 2.406, 2.404, 3.356, 3.357, 3.311, 2.394, 2.41, 2.394]"
130,1,actionfeedback,2020-09-23 16:55:54.766004,2020-09-23 16:58:58.041772,2020-09-23 17:02:15.617317,6.2,0,College degree,No,46,Female,-,-,,0,4,"[12, 12, 7, 8, 12, 10, 8, 10, 9, 10]","[24, 26, 37, 48, 40, 12, 32, 34, 43, 46]",342.0,34.2,"[24, 26, 37, 48, 40, 12, 32, 34, 43, 46]",0.3986,"[0.462, 0.385, 0.444, 0.385, 0.462, 0.462, 0.385, 0.308, 0.308, 0.385]","[0, 0, 2.0, 5.0, 0, 3.0, 5.0, 3.0, 4.0, 3.0]"
131,1,actionfeedback,2020-09-23 16:57:57.807858,2020-09-23 17:04:12.032163,2020-09-23 17:10:34.54347,12.1,0,High school graduate,No,59,male,-,-,without revealing all of them there is a lot of guess work.,0,4,"[8, 5, 7, 9, 10, 11, 6, 7, 6, 7]","[22, 51, 41, 35, 36, 15, 16, 37, 24, 33]",310.0,31.0,"[22, 51, 41, 27, 44, 15, 16, 37, 24, 33]",0.3215,"[0.222, 0.333, 0.25, 0.6, 0.545, 0.231, 0.105, 0.25, 0.429, 0.25]","[0, 0, 0, 0, 0, 2.0, 3.543, 0, 0, 0]"
132,1,actionfeedback,2020-09-23 16:59:55.759594,2020-09-23 17:04:18.306811,2020-09-23 17:07:55.875061,7.7,0,College degree,Yes,49,Male,-,-,,0,4,"[6, 3, 5, 2, 2, 3, 2, 2, 5, 2]","[-10, 25, 27, 42, 26, 29, 30, 54, 47, 30]",300.0,30.0,"[-34, 23, 25, 40, 28, 33, 34, 52, 43, 34]",0.5502,"[0.0, 0.5, 0.667, 0.667, 0.667, 0.5, 0.667, 0.667, 0.5, 0.667]","[2.434, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
133,1,actionfeedback,2020-09-23 17:00:03.351394,2020-09-23 17:05:50.016679,2020-09-23 17:11:34.56966,11.1,0,High school graduate,No,66,male,-,-,,0,4,"[4, 5, 5, 4, 3, 4, 6, 4, 4, 4]","[48, 39, 47, 52, 53, 52, 46, 4, 28, 48]",417.0,41.7,"[46, 39, 51, 56, 49, 54, 50, -46, 32, 50]",0.4181,"[0.4, 0.333, 0.5, 0.4, 0.75, 0.4, 0.571, 0.142, 0.285, 0.4]","[0, 0, 0, 0, 0, 0, 0, 3.03, 3.023, 0]"
134,1,actionfeedback,2020-09-23 17:05:47.237806,2020-09-23 17:13:08.580241,2020-09-23 17:27:21.6654,20.4,0,College degree,Yes,30,male,-,-,Interesting one.,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[12, 26, -22, 44, -60, -44, 36, 22, -30, -30]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.335, 2.387, 2.708, 2.422, 2.706, 2.375, 2.767, 3.269, 3.423, 3.31]"
135,1,actionfeedback,2020-09-23 17:11:07.790906,2020-09-23 17:13:48.468125,2020-09-23 17:19:31.01014,8.2,0,College degree,No,45,female,-,-,no,9,4,"[0, 0, 0, 0, 0, 0, 3, 0, 0, 0]","[0, 0, 0, 0, 0, 0, -1, 0, 0, 0]",-1.0,-0.1,"[30, -48, 22, 42, 30, -58, 27, 20, -40, -34]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.173, 3.422, 2.746, 2.407, 2.177, 2.764, 2.759, 2.751, 3.332, 2.798]"
136,1,actionfeedback,2020-09-23 16:50:39.76237,2020-09-23 16:54:27.739666,2020-09-23 16:58:51.81182,7.7,0,High school graduate,No,42,male,-,-,,0,4,"[4, 3, 9, 11, 9, 12, 12, 6, 8, 8]","[24, 1, 51, 35, 19, 42, 30, 42, 36, 14]",294.0,29.4,"[32, 41, 51, 35, 11, 42, 30, 48, 40, 14]",0.2902,"[0.4, 0.0, 0.077, 0.385, 0.5, 0.308, 0.308, 0.308, 0.231, 0.385]","[0, 2.746, 4.0, 2.0, 0, 0, 0, 7.0, 5.0, 5.0]"
137,1,actionfeedback,2020-09-23 17:13:03.839236,2020-09-23 17:20:16.431763,2020-09-23 17:26:12.745588,13.0,0,College degree,Yes,40,female,-,-,na,0,4,"[7, 12, 12, 11, 10, 8, 12, 5, 7, 7]","[41, 40, 40, 33, 40, 50, 12, 49, 37, 33]",375.0,37.5,"[41, 40, 40, 33, 40, 50, 12, 49, 37, 33]",0.4037,"[0.25, 0.385, 0.385, 0.308, 0.636, 0.231, 0.692, 0.286, 0.308, 0.556]","[0, 0, 0, 2.0, 0, 5.0, 0, 2.0, 6.0, 2.0]"
138,1,actionfeedback,2020-09-23 17:21:11.511335,2020-09-23 17:26:48.741193,2020-09-23 17:31:54.477921,10.5,0,High school graduate,Yes,34,Male,-,-,,3,4,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]","[-1, 0, 0, 0, -1, -1, -1, -1, 1, -1]",-5.0,-0.5,"[17, 38, -18, -12, 47, 47, 51, 17, 45, 43]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.791, 3.344, 2.408, 3.394, 2.389, 2.381, 3.33, 2.164, 2.801, 2.378]"
139,1,actionfeedback,2020-09-23 17:28:33.199603,2020-09-23 17:31:53.716344,2020-09-23 17:36:21.476805,7.5,0,College degree,No,31,Male,-,-,No,0,4,"[4, 4, 6, 6, 6, 6, 6, 6, 6, 6]","[0, 22, 46, 14, 46, -2, 20, 44, 14, 40]",244.0,24.4,"[56, 18, 54, 50, 54, 50, 28, 48, 20, -24]",0.2868,"[0.154, 0.4, 0.429, 0.24, 0.223, 0.375, 0.429, 0.286, 0.11, 0.222]","[2.477, 0, 0, 2.347, 2.982, 2.0, 0, 0, 3.067, 3.003]"
140,1,actionfeedback,2020-09-23 16:15:00.225744,2020-09-23 16:22:34.90688,2020-09-23 16:29:05.475007,13.5,0,College degree,Yes,39,African American,-,-,None. ,0,3,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[-1, 7, -1, 47, -1, 3, 1, 7, -1, 3]",64.0,6.4,"[29, 51, 21, 35, 43, 25, -31, 53, 57, -19]",0.1533,"[0.284, 0.0, 0.0, 1.0, 0.249, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.52, 2.72, 3.318, 0, 3.018, 2.16, 3.382, 3.345, 3.292, 3.338]"
